City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,21.76,40,6,0.45,US,1685140525
1,lebu,-37.6167,-73.65,9.77,76,99,3.93,CL,1685140717
2,bardai,11.65,7.2333,26.62,63,100,5.23,NG,1685140717
3,az zuwaytinah,30.9522,20.1202,19.67,81,1,5.0,LY,1685140718
4,lompoc,34.6391,-120.4579,23.72,68,0,5.81,US,1685140718
5,okhotsk,59.3833,143.3,7.11,64,89,1.55,RU,1685140718
6,puerto natales,-51.7236,-72.4875,3.25,60,75,6.69,CL,1685140718
7,el bolson,-41.9667,-71.5167,-0.48,97,82,2.37,AR,1685140718
8,hithadhoo,-0.6,73.0833,27.83,74,97,4.31,MV,1685140718
9,xiva,41.3783,60.3639,18.99,17,74,4.48,UZ,1685140718
10,minas de marcona,-15.2119,-75.1103,14.92,86,100,6.23,PE,1685140718
11,ushuaia,-54.8,-68.3,1.81,87,75,15.43,AR,1685140692
12,iqaluit,63.7506,-68.5145,-5.15,73,20,10.29,CA,1685140719
13,edinburgh of the seven seas,-37.0676,-12.3116,13.13,67,79,11.21,SH,1685140719
14,selfoss,63.9331,-20.9971,5.02,86,99,11.83,IS,1685140719
15,margaret river,-33.95,115.0667,12.51,73,75,0.26,AU,1685140719
16,rongelap,11.1635,166.8941,27.3,77,100,7.19,MH,1685140719
17,laguna,38.421,-121.4238,26.84,49,0,5.14,US,1685140719
18,ilulissat,69.2167,-51.1,2.01,87,100,6.69,GL,1685140719
19,hami,42.8,93.45,18.15,20,16,5.32,CN,1685140720
20,east london,-33.0153,27.9116,13.5,54,4,2.09,ZA,1685140720
21,port-aux-francais,-49.35,70.2167,4.76,98,97,9.46,TF,1685140720
22,wailua homesteads,22.0669,-159.378,26.44,65,20,6.17,US,1685140720
23,temiskaming shores,47.4938,-79.7153,24.89,43,36,1.94,CA,1685140720
24,port mathurin,-19.6833,63.4167,25.1,75,25,9.44,MU,1685140720
25,chonchi,-42.6128,-73.8092,4.56,89,7,1.22,CL,1685140720
26,hermanus,-34.4187,19.2345,11.61,68,0,3.15,ZA,1685140720
27,saipan,15.1355,145.701,28.14,100,40,8.23,MP,1685140721
28,nemuro,43.3236,145.575,10.81,91,94,6.99,JP,1685140629
29,palikir - national government center,6.9248,158.1611,27.41,83,100,1.54,FM,1685140721
30,mata-utu,-13.2816,-176.1745,27.62,82,100,6.64,WF,1685140721
31,raduzhnyy,62.0961,77.475,8.97,57,12,2.84,RU,1685140721
32,geraldton,-28.7667,114.6,10.23,62,100,4.63,AU,1685140721
